Bandara Utama,Polonia,Soekarno Hatta,Juanda,Ngurah Rai,Hasanudin
2019-01,280839,1569630,560242,428629,299845
2019-02,198871,1427000,473070,357076,242539
2019-03,202298,1538314,481147,369930,261757
2019-04,195395,1403186,443457,364220,246228
2019-05,155731,1276006,378933,289400,221716
2019-06,245820,1568669,607024,460273,306475
2019-07,236009,1749777,620237,459284,307516
2019-08,225363,1714643,541273,480603,291482
2019-09,214364,1630312,516321,424781,289609
2019-10,225484,1738571,543876,435861,295343
2019-11,229847,1778862,549010,435288,299358
2019-12,220846,1870092,574001,450458,291897
2020-01,288819,1600594,553747,453130,308503
2020-02,227602,1551967,481881,346962,273885
2020-03,172348,1211697,408725,253517,230917
2020-04,29386,191002,97748,44122,49046
2020-05,3593,27500,5397,2423,6663
2020-06,28567,174352,64137,11396,40508
2020-07,62904,427731,121240,41375,79957
2020-08,89451,574597,186467,83260,134043
2020-09,74638,500591,162402,80930,129773
2020-10,85663,601391,182889,99469,156486
2020-11,116956,828893,238036,169655,193428
2020-12,133574,931481,244579,189289,194363
2021-01,157614,507262,189560,118965,163992
2021-02,100191,482132,152366,71105,128429
2021-03,122498,672107,198457,116888,166182
2021-04,119306,703135,219430,142344,175885
2021-05,104644,598615,210700,121441,142954
2021-06,150762,858770,346782,225671,210516
2021-07,51362,249940,74127,49999,73783
2021-08,49711,321287,97491,47409,66276
2021-09,80935,560577,166499,113912,112102
2021-10,116465,824287,231536,224887,159016
2021-11,143606,974987,278750,274179,182441
2021-12,161457,1192278,305669,318264,182396
2022-01,225304,1067325,301152,317662,211736
2022-02,137536,808253,220164,191034,156830
2022-03,177348,1194158,319093,290652,219928
2022-04,166129,1205816,285101,224687,179681
